1, 45600, Tempo, 303030
1, 45840, Tempo, 281690
1, 46080, Tempo, 303030
1, 46320, Tempo, 281690
1, 46560, Tempo, 303030
1, 46800, Tempo, 281690
1, 47040, Tempo, 303030
1, 47280, Tempo, 281690
1, 47520, Tempo, 303030
1, 47760, Tempo, 281690
1, 48000, Tempo, 303030
1, 48240, Tempo, 291262
1, 48480, Tempo, 303030
1, 48720, Tempo, 292683
1, 48960, Tempo, 303030
1, 49200, Tempo, 292683
1, 49440, Tempo, 303030
1, 49680, Tempo, 292683
1, 49920, Tempo, 301508
1, 50160, Tempo, 291971
1, 50400, Tempo, 301508
1, 50640, Tempo, 291971
1, 50880, Tempo, 301508
1, 51120, Tempo, 316623
1, 51360, Tempo, 324324
1, 51840, Tempo, 331492
1, 52320, Tempo, 318302
1, 52680, Tempo, 355030
1, 52800, Tempo, 402685
1, 52920, Tempo, 330579
1, 53040, Tempo, 291971
1, 53280, Tempo, 303030
1, 53520, Tempo, 281690
1, 53760, Tempo, 303030
1, 54000, Tempo, 281690
1, 54240, Tempo, 303030
1, 54480, Tempo, 281690
1, 54720, Tempo, 303030
1, 54960, Tempo, 281690
1, 55200, Tempo, 303030
1, 55440, Tempo, 281690
1, 55680, Tempo, 303030
1, 55920, Tempo, 281690
1, 56160, Tempo, 303030
1, 56400, Tempo, 281690
1, 56640, Tempo, 303030
1, 56880, Tempo, 281690
1, 57120, Tempo, 303030
1, 57360, Tempo, 281690
1, 57600, Tempo, 303030
1, 57840, Tempo, 281690
1, 58080, Tempo, 303030
1, 58320, Tempo, 281690
1, 58560, Tempo, 303030
1, 58800, Tempo, 281690
1, 59040, Tempo, 303030
1, 59280, Tempo, 281690
1, 59520, Tempo, 303030
1, 59760, Tempo, 281690
1, 60000, Tempo, 303030
1, 60240, Tempo, 281690
1, 60480, Tempo, 303030
1, 60720, Tempo, 281690
1, 60960, Tempo, 303030
1, 61200, Tempo, 281690
1, 61440, Tempo, 303030
1, 61680, Tempo, 281690
1, 61920, Tempo, 303030
1, 62160, Tempo, 281690
1, 62340, Tempo, 326975
1, 62400, Tempo, 303030
1, 62640, Tempo, 281690
1, 62880, Tempo, 303030
1, 63120, Tempo, 281690
1, 63360, Tempo, 303030
1, 63600, Tempo, 281690
1, 63840, Tempo, 303030
1, 64080, Tempo, 281690
1, 64320, Tempo, 303030
1, 64560, Tempo, 281690
1, 64800, Tempo, 303030
1, 65040, Tempo, 281690
1, 65280, Tempo, 303030
1, 65520, Tempo, 281690
1, 65760, Tempo, 303030
1, 66000, Tempo, 281690
1, 66240, Tempo, 303030
1, 66480, Tempo, 281690
1, 68160, Tempo, 303030
1, 68400, Tempo, 281690
1, 68640, Tempo, 303030
1, 68880, Tempo, 281690
1, 69120, Tempo, 303030
1, 69360, Tempo, 281690
1, 69600, Tempo, 303030
1, 69840, Tempo, 281690
1, 70080, Tempo, 303030
1, 70320, Tempo, 281690
1, 70560, Tempo, 303030
1, 70800, Tempo, 281690
1, 71040, Tempo, 303030
1, 71280, Tempo, 281690
1, 71520, Tempo, 303030
1, 71760, Tempo, 352941
1, 72000, Tempo, 319149
1, 72240, Tempo, 302267
1, 72480, Tempo, 310881
1, 72720, Tempo, 295567
1, 72960, Tempo, 310881
1, 73200, Tempo, 295567
1, 73440, Tempo, 310881
1, 73680, Tempo, 295567
1, 73920, Tempo, 310881
1, 74160, Tempo, 295567
1, 74400, Tempo, 310881
1, 74640, Tempo, 295567
1, 74880, Tempo, 310881
1, 75120, Tempo, 295567
1, 75360, Tempo, 310881
1, 75480, Tempo, 316623
1, 75600, Tempo, 303797
1, 75840, Tempo, 310881
1, 76080, Tempo, 295567
1, 76320, Tempo, 310881
1, 76560, Tempo, 295567
1, 76800, Tempo, 310881
1, 77040, Tempo, 295567
1, 77280, Tempo, 310881
1, 77520, Tempo, 295567
1, 77760, Tempo, 307692
1, 78000, Tempo, 292683
1, 78240, Tempo, 306122
1, 78480, Tempo, 291971
1, 78720, Tempo, 303030
1, 78960, Tempo, 289157
1, 79200, Tempo, 300000
1, 79440, Tempo, 285714
1, 79680, Tempo, 303030
1, 79920, Tempo, 281690
1, 80160, Tempo, 303030
1, 80400, Tempo, 281690
1, 80640, Tempo, 303030
1, 80880, Tempo, 281690
1, 81120, Tempo, 303030
1, 81360, Tempo, 281690
1, 81600, Tempo, 303030
1, 81840, Tempo, 281690
1, 82080, Tempo, 303030
1, 82320, Tempo, 281690
1, 83040, Tempo, 303030
1, 83280, Tempo, 291971
1, 83460, Tempo, 375000
1, 83520, Tempo, 321716
1, 83760, Tempo, 306122
1, 84240, Tempo, 295567
1, 84480, Tempo, 310881
1, 84720, Tempo, 295567
1, 84960, Tempo, 310881
1, 85200, Tempo, 295567
1, 85440, Tempo, 310881
1, 85680, Tempo, 300752
1, 85860, Tempo, 352941
1, 85920, Tempo, 314961
1, 86160, Tempo, 301508
1, 86400, Tempo, 315789
1, 86640, Tempo, 301508
1, 86880, Tempo, 315789
1, 87120, Tempo, 300000
1, 87300, Tempo, 347826
1, 87360, Tempo, 310881
1, 87600, Tempo, 292683
1, 87840, Tempo, 305344
1, 88080, Tempo, 289855
1, 88320, Tempo, 302267
1, 88560, Tempo, 285714
1, 88740, Tempo, 338028
1, 88800, Tempo, 303030
1, 89040, Tempo, 281690
1, 89280, Tempo, 303030
1, 89520, Tempo, 281690
1, 89760, Tempo, 303030
1, 90000, Tempo, 281690
1, 90240, Tempo, 303030
1, 90480, Tempo, 281690
1, 90720, Tempo, 303030
1, 90960, Tempo, 281690
1, 91200, Tempo, 303030
1, 91440, Tempo, 281690
1, 91680, Tempo, 303030
1, 91920, Tempo, 281690
1, 92160, Tempo, 303030
1, 92400, Tempo, 281690
1, 92640, Tempo, 303030
1, 92880, Tempo, 281690
1, 93120, Tempo, 303030
1, 93360, Tempo, 281690
1, 93600, Tempo, 303030
1, 93840, Tempo, 281690
1, 94080, Tempo, 303030
1, 94320, Tempo, 281690
1, 94560, Tempo, 303030
1, 94800, Tempo, 291262
1, 95040, Tempo, 303030
1, 95280, Tempo, 292683
1, 95520, Tempo, 303030
1, 95760, Tempo, 292683
1, 96000, Tempo, 303030
1, 96240, Tempo, 292683
1, 96480, Tempo, 301508
1, 96720, Tempo, 291971
1, 96960, Tempo, 301508
1, 97200, Tempo, 291971
1, 97440, Tempo, 301508
1, 97680, Tempo, 309278
1, 97920, Tempo, 314136
1, 98160, Tempo, 316623
1, 98400, Tempo, 319149
1, 98640, Tempo, 321716
1, 98880, Tempo, 318302
1, 99240, Tempo, 355030
1, 99345, Tempo, 400000
1, 99360, Tempo, 303030
1, 99600, Tempo, 281690
1, 99720, Tempo, 333333
1, 99840, Tempo, 303030
1, 100080, Tempo, 281690
1, 100320, Tempo, 306122
1, 100560, Tempo, 292683
1, 100800, Tempo, 306122
1, 101040, Tempo, 292683
1, 101250, Tempo, 352941
1, 101280, Tempo, 303030
1, 101520, Tempo, 281690
1, 101640, Tempo, 315789
1, 101760, Tempo, 303030
1, 102000, Tempo, 281690
1, 102240, Tempo, 306122
1, 102480, Tempo, 292683
1, 102720, Tempo, 306122
1, 102960, Tempo, 292683
1, 103170, Tempo, 352941
1, 103200, Tempo, 303030
1, 103440, Tempo, 281690
1, 103560, Tempo, 314961
1, 103680, Tempo, 303030
1, 103920, Tempo, 281690
1, 104160, Tempo, 306122
1, 104400, Tempo, 292683
1, 104640, Tempo, 306122
1, 104880, Tempo, 292683
1, 105120, Tempo, 303030
1, 105360, Tempo, 281690
1, 105600, Tempo, 303030
1, 105840, Tempo, 281690
1, 106080, Tempo, 303030
1, 106320, Tempo, 281690
1, 106560, Tempo, 303030
1, 106800, Tempo, 281690
1, 107040, Tempo, 303030
1, 107280, Tempo, 281690
1, 107520, Tempo, 303030
1, 107760, Tempo, 281690
1, 108000, Tempo, 303030
1, 108240, Tempo, 281690
1, 108480, Tempo, 303030
1, 108720, Tempo, 281690
1, 108960, Tempo, 303030
1, 109200, Tempo, 281690
1, 109440, Tempo, 303030
1, 109680, Tempo, 281690
1, 109920, Tempo, 303030
1, 110160, Tempo, 281690
1, 110400, Tempo, 303030
1, 110640, Tempo, 281690
1, 110880, Tempo, 303030
1, 111120, Tempo, 281690
1, 111360, Tempo, 303030
1, 111600, Tempo, 281690
1, 111840, Tempo, 303030
1, 112080, Tempo, 285714
1, 112320, Tempo, 303030
1, 112560, Tempo, 285714
1, 112800, Tempo, 303030
1, 113040, Tempo, 285714
1, 113280, Tempo, 303030
1, 113520, Tempo, 285714
1, 113760, Tempo, 303030
1, 114000, Tempo, 285714
1, 114240, Tempo, 303030
1, 114480, Tempo, 285714
1, 114720, Tempo, 320000
1, 114840, Tempo, 305344
1, 114960, Tempo, 289855
1, 115200, Tempo, 306905
1, 115440, Tempo, 289855
1, 115680, Tempo, 306905
1, 115920, Tempo, 289855
1, 116160, Tempo, 306905
1, 116400, Tempo, 289855
1, 116640, Tempo, 306905
1, 116880, Tempo, 289855
1, 117120, Tempo, 306905
1, 117360, Tempo, 289855
1, 117600, Tempo, 306905
1, 117840, Tempo, 289855
1, 118080, Tempo, 306905
1, 118320, Tempo, 289855
1, 118560, Tempo, 306905
1, 118800, Tempo, 289855
1, 119040, Tempo, 306905
1, 119280, Tempo, 289855
1, 119520, Tempo, 306905
1, 119760, Tempo, 289855
1, 120000, Tempo, 306905
1, 120240, Tempo, 289855
1, 120480, Tempo, 321716
1, 120720, Tempo, 289855
1, 120960, Tempo, 306905
1, 121200, Tempo, 289855
1, 121440, Tempo, 306905
1, 121680, Tempo, 289855
1, 121920, Tempo, 306905
1, 122160, Tempo, 289855
1, 122400, Tempo, 306905
1, 122640, Tempo, 289855
1, 122880, Tempo, 306905
1, 123120, Tempo, 289855
1, 123330, Tempo, 376176
1, 123360, Tempo, 303030
1, 123600, Tempo, 281690
1, 123840, Tempo, 303030
1, 124080, Tempo, 281690
1, 124260, Tempo, 333333
1, 124320, Tempo, 303030
1, 124560, Tempo, 281690
1, 124800, Tempo, 303030
1, 125040, Tempo, 281690
1, 125220, Tempo, 333333
1, 125280, Tempo, 303030
1, 125520, Tempo, 281690
